fecha,precipitaciones,temperatura,humedad,consumo,evento
2020-07-01,0.0,35.9,26,876.75,
2020-07-02,0.0,33.4,24,892.62,
2020-07-03,0.0,34.3,23,844.82,
2020-07-04,0.0,36.4,32,846.41,
2020-07-05,0.0,38.1,32,886.27,
2020-07-06,0.0,39.0,23,908.22,
2020-07-07,,39.8,21,861.04,
2020-07-08,,34.9,27,854.43,
2020-07-09,0.0,35.3,20,907.0,
2020-07-10,0.0,35.7,31,865.85,
2020-07-11,0.0,38.5,32,839.47,
2020-07-12,0.0,36.7,29,923.06,
2020-07-13,0.0,35.6,44,858.51,
2020-07-14,5.0,34.7,52,907.38,
2020-07-15,0.0,33.8,48,855.24,
2020-07-16,0.0,35.9,36,859.54,
2020-07-17,0.0,37.3,36,850.0,
2020-07-18,0.0,38.1,34,883.77,
2020-07-19,0.0,37.9,28,902.32,
2020-07-20,0.0,38.3,20,883.54,
2020-07-21,,34.7,33,856.95,
2020-07-22,0.0,34.4,32,902.94,
2020-07-23,0.0,37.1,30,899.6,
2020-07-24,0.0,37.8,26,943.36,
2020-07-25,0.0,38.9,29,897.26,
2020-07-26,0.0,40.9,19,868.16,
2020-07-27,0.0,41.1,22,883.03,
2020-07-28,0.0,37.3,25,915.54,
2020-07-29,0.0,39.8,26,854.7,
2020-07-30,0.0,40.2,32,868.7,
2020-07-31,0.0,39.7,20,930.25,DÃ­a de la Pandorga
2020-08-01,0.0,38.8,15,901.09,
2020-08-02,0.0,37.4,21,916.94,
2020-08-03,0.0,33.6,28,810.77,
2020-08-04,0.0,34.9,37,851.01,
2020-08-05,0.0,36.9,40,914.96,
2020-08-06,0.0,39.1,33,839.86,
2020-08-07,0.0,39.5,27,844.85,
2020-08-08,0.0,39.1,26,910.57,
2020-08-09,0.0,39.6,26,871.5,
2020-08-10,0.9,34.0,36,876.16,
2020-08-11,27.5,31.3,65,867.91,
2020-08-12,0.0,29.8,59,754.37,
2020-08-13,0.0,31.8,46,864.23,
2020-08-14,0.0,33.5,36,869.28,
2020-08-15,0.0,30.6,29,866.25,Virgen del Prado
